1	1	1718878719	0	11012	7	23	龟裂的地下道
2	2	1718878720	0	11017	16	10	牛鬼的洞窟
3	3	1718871521	0	1538	15	18	城内的地下迷宫
4	4	1718878721	0	15511	1	8	暖炉之底
5	5	1718878722	0	15502	10	6	黑暗医生的洞窟
6	6	1718878723	0	666	73	2	海贼的洞窟
7	7	1718871523	0	1405	34	61	迷宫里的通道
8	8	1718871523	0	100	639	281	霞之洞窟
12	12	1718867926	0	15543	13	23	水之迷宫
10	10	1718867925	0	15543	13	16	水之迷宫
11	11	1718867925	0	15543	15	11	水之迷宫
13	13	1718867926	0	11034	6	5	土之迷宫
14	14	1718867926	0	11034	26	49	土之迷宫
15	15	1718867926	0	11034	18	73	土之迷宫
0	17	1718875127	0	100	660	136	森林
104	19	1718878729	0	100	542	36	奇怪的洞窟
105	20	1718878730	0	100	380	353	布满青苔的洞窟
107	21	1718871530	0	100	246	210	迷路之穴
108	22	1718878731	0	15579	25	15	白龙城
109	23	1718878733	0	15578	24	26	黑龙城
110	24	1718878733	0	15583	25	15	白龙城
111	25	1718878734	0	15584	24	26	黑龙城
112	26	1718878735	0	15595	25	4	炎之洞窟
113	27	1718878735	0	15596	10	74	炎之洞窟
114	28	1718878736	0	15596	85	38	炎之洞窟
200	29	1718878737	0	5004	61	56	传送石
201	30	1718878738	0	5004	59	26	传送石
202	31	1718893139	0	5004	38	22	传送石
203	32	1718893140	0	5004	19	26	传送石
204	33	1718907541	0	5004	16	56	传送石
300	34	1718878742	0	15517	8	38	阿鲁巴斯的洞窟
301	35	1718878742	0	16507	14	14	黑色的祈祷
302	36	1718878743	0	23003	42	21	罗连斯研究塔
303	37	1718885944	0	300	624	326	砂漠之祠
304	38	1718878745	0	3355	11	5	砂尘的洞窟
305	39	1718878745	0	15525	23	5	峡之洞窟
306	40	1718878747	0	15526	91	7	峡之洞窟
307	41	1718878747	0	15564	23	5	风之洞窟
308	42	1718878748	0	15566	10	8	风之洞窟
309	43	1718875149	0	15568	58	45	迷路的龙之巢
400	44	1718878750	0	16510	25	7	贝兹雷姆的迷宫
401	45	1718878750	0	4402	16	13	科学家的牢房
402	46	1718878751	0	402	84	193	积雪的山路
403	47	1718875152	0	16521	10	13	蜥蜴之巢
404	48	1718878753	0	400	362	364	奇怪的坑道
406	49	1718878755	0	15536	21	8	永久冻土
407	50	1718878756	0	15538	14	7	深渊
408	51	1718878757	0	15552	18	15	询问之地
409	52	1718878758	0	15552	18	39	询问之地
410	53	1718878758	0	15557	16	18	询问之地
411	54	1718878759	0	15557	10	18	询问之地
412	55	1718878760	0	15558	16	18	询问之地
413	56	1718878760	0	15558	10	18	询问之地
414	57	1718878761	0	15548	16	18	询问之地
415	58	1718878762	0	15548	10	18	询问之地
416	59	1718878762	0	15550	16	18	询问之地
417	60	1718878763	0	15550	10	18	询问之地
418	61	1718878764	0	15549	16	18	询问之地
419	62	1718878764	0	15549	10	18	询问之地
420	63	1718878765	0	15559	16	18	询问之地
421	64	1718878766	0	15559	10	18	询问之地
422	65	1718878766	0	15553	16	18	询问之地
423	66	1718878767	0	15553	13	18	询问之地
424	67	1718878767	0	15553	10	18	询问之地
425	68	1718878768	0	15560	16	18	询问之地
426	69	1718878769	0	15560	10	18	询问之地
600	70	1718878769	0	36003	17	4	布朗山
601	71	1718878769	0	36001	58	21	布朗山
602	72	1718893170	0	37010	36	30	地下水脉
603	73	1718878771	0	36003	12	2	布朗山
604	74	1718873372	0	35000	13	34	地下遗迹
605	75	1718878772	0	34017	9	6	大树
700	76	1718878774	0	33223	23	16	无人的洞窟
701	77	1718878775	0	33224	23	16	无人的洞窟
702	78	1718878776	0	33225	23	16	无人的洞窟
703	79	1718878777	0	34004	9	4	时波之祠
704	80	1718878777	0	33000	290	436	深绿的山道
705	81	1718878778	0	47000	11	6	头目的～(略)
800	82	1718878778	0	47007	7	3	雷姆尔山
801	83	1718878778	0	47005	70	16	雷姆尔山
802	84	1718878779	0	47007	10	6	雷姆尔山
803	85	1718878780	0	47010	31	7	森之迷宫
804	86	1718878780	0	47011	29	11	森之迷宫
805	87	1718878780	0	47013	36	39	森之迷宫
806	88	1718878780	0	47014	11	35	森之迷宫
807	89	1718878781	0	43000	418	249	诅咒者之洞窟
902	94	1718871584	0	46030	33	4	秘密通道
809	91	1718878783	0	43000	356	619	诅咒者之洞窟
900	92	1718871583	0	46030	21	4	秘密通道
901	93	1718871583	0	46030	5	7	秘密通道
903	95	1718871584	0	46030	25	8	秘密通道
904	96	1718871584	0	46030	25	8	秘密通道
905	97	1718871584	0	46030	30	7	秘密通道
906	98	1718878785	0	46045	15	8	魔导研究塔
907	99	1718875186	0	43981	40	39	麦尼洞窟
908	100	1718876987	0	46055	14	12	岛之洞窟
909	101	1718877287	0	46056	47	4	岛之洞窟
911	102	1718878788	0	59715	233	116	梦魔的迷宫
912	103	1718871588	0	59503	202	266	虫洞
913	104	1718882389	0	59503	72	166	羽音洞窟
922	105	1718871589	0	59714	122	69	海底墓场外苑
